InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
P62993	P15941	"intact, Biogrid, Hprd"	1	1	2	"20936779, 7664271"
P62993	P16298	intact	1	1	1	17474147
P62993	P17600	"Biogrid, Hprd"	1	1	3	"8022809, 8552632, 10899172"
P62993	P18031	"mint, Biogrid, Hprd"	1	1	4	"10660596, 8940134, 27432908, 12388170"
P62993	P18433	"intact, mint, Biogrid, Hprd"	1	1	10	"19380743, 7518772, 11923305, 24189400, 28330616, 28514442, 28065597, 8670803, 27880917, 23532252"
P62993	P19174	"mint, intact, Biogrid, Hprd"	1	1	7	"9020117, 21706016, 9281317, 7629168, 10940929, 16038803, 7516467"
P62993	P19338	"intact, Biogrid"	1	1	2	"12577067, 20936779"
P62993	P19438	"Biogrid, Hprd"	2	2	2	"10359574, 19289468"
P62993	P20273	"Biogrid, Hprd"	2	2	2	"10748054, 11551923"
P62993	P20936	"Biogrid, Hprd"	2	2	1	12441060
P62993	P20963	Hprd	2	2	1	7629168
P62993	P21333	"intact, Biogrid"	1	1	3	"12577067, 17474147, 21706016"
P62993	P21854	Hprd	2	2	1	10820378
P62993	P21860	"mint, intact, Biogrid, Hprd"	1	1	5	"16729043, 24189400, 24658140, 9756944, 11173924"
P62993	P22557	"intact, Biogrid"	1	1	1	18624398
P62993	P23508	intact	2	2	1	17353931
P62993	P24928	"intact, Biogrid"	1	1	1	18624398
P62993	P25106	intact	1	1	1	17474147
P62993	P25208	"intact, Biogrid"	1	1	1	20936779
P62993	P26373	intact	1	1	1	17474147
P62993	P26951	"intact, Biogrid"	1	1	2	"17474147, 7523859"
P62993	P27986	"mint, intact, Biogrid, Hprd"	1	1	17	"7642581, 16219545, 19380743, 20936779, 21706016, 25416956, 7737969, 7759531, 9886492, 11418612, 9174058, 9541596, 18346204, 7544353, 8647120, 7642542, 8621719"
P62993	P29074	intact	1	1	1	17474147
P62993	P29353	"intact, mint, Dip, Biogrid, Hprd"	1	1	77	"12577067, 12485888, 15688026, 9544989, 8940013, 16520382, 19380743, 11827484, 12213123, 9254595, 9175774, 8939605, 8995379, 8663178, 21706016, 23178716, 24189400, 25416956, 26551075, 8491186, 8112292, 8647288, 8662733, 9083103, 9927207, 8294403, 12441060, 10477741, 11302736, 10570290, 11505033, 8195171, 11964172, 10080542, 7524086, 7535773, 9045692, 7514169, 9126968, 15812354, 9434624, 9886492, 9129019, 12898421, 7537740, 8621719, 9541596, 10049786, 8950973, 22974441, 8662998, 11792427, 11370743, 7650032, 8810340, 24430869, 9032244, 12149229, 16371368, 7559490, 28690151, 9797459, 7597091, 15888547, 11453982, 9488479, 9019162, 8626525, 7516467, 8561895, 7744881, 9020193, 7629070, 8235613, 11707405, 7798267, 9733714"
P62993	P29376	Biogrid	2	2	1	7650032
P62993	P30530	"mint, Biogrid, Hprd"	1	1	2	"9178760, 18346204"
P62993	P31273	intact	1	1	1	17474147
P62993	P31785	intact	1	1	1	17474147
P62993	P32239	intact	1	1	1	17474147
P62993	P33552	"intact, Biogrid"	1	1	1	21988832
P62993	P35462	"Biogrid, Hprd"	1	1	1	11384839
P62993	P35568	"intact, Dip, Biogrid, Hprd"	1	1	10	"21706016, 7486683, 8491186, 12173038, 8536716, 22974441, 7629070, 8388384, 7488107, 8810325"
P62993	P35579	"intact, Biogrid"	1	1	3	"12577067, 20936779, 24189400"
P62993	P36888	"Biogrid, Hprd"	2	2	1	10080542
P62993	P41970	intact	1	1	1	17474147
P62993	P42336	"intact, Biogrid"	2	2	4	"21706016, 28514442, 19380743, 9565634"
P62993	P42566	"intact, Biogrid"	1	1	3	"17474147, 7797522, 19109251"
P62993	P42684	"intact, Biogrid"	1	1	2	"17474147, 8194526"
P62993	P42768	"Biogrid, Hprd"	1	1	3	"8805332, 9307968, 10224664"
P62993	P43405	"Biogrid, Hprd"	2	2	3	"10747947, 11964172, 22267732"
P62993	P45984	Biogrid	1	1	2	"9019171, 7642542"
P62993	P46109	"Biogrid, Hprd"	2	2	1	10477741
P62993	P48357	intact	1	1	1	17474147
P62993	P48634	"intact, Biogrid, Hprd"	1	1	2	"14667819, 21988832"
P62993	P48736	Hprd	2	2	1	10386953
P62993	P49023	Biogrid	1	1	1	10085298
P62993	P49815	"intact, Biogrid"	1	1	1	18624398
P62993	P50570	"mint, intact, Biogrid, Hprd"	1	1	7	"15834155, 16696976, 19380743, 21988832, 21706016, 27107012, 28514442"
P62993	P52292	"intact, Biogrid"	1	1	1	21988832
P62993	P52735	"intact, Biogrid, Hprd"	2	2	2	"12577067, 11606575"
P62993	P55072	"intact, Biogrid"	1	1	1	25814554
P62993	P55196	Biogrid	2	2	1	21706016
P62993	P56945	"Biogrid, Hprd"	1	1	5	"10822386, 10085298, 16105984, 8700507, 8649368"
P62993	P57773	Biogrid	2	2	1	21706016
P62993	P58505	"intact, Biogrid"	1	1	1	18624398
P62993	P61978	"intact, Biogrid"	1	1	5	"12577067, 20936779, 21988832, 25416956, 19380743"
P62993	P62491	intact	1	1	1	25814554
P62993	P63151	Biogrid	2	2	1	21706016
P62993	P78357	intact	1	1	1	17474147
P62993	P78559	Biogrid	1	1	1	20936779
P62993	P84022	intact	1	1	1	17474147
P62993	P98082	"intact, Biogrid, Hprd"	1	1	6	"17474147, 20936779, 10542228, 22323290, 9569023, 11371563"
P62993	Q01082	"intact, Biogrid"	1	1	2	"12577067, 20936779"
P62993	Q01968	"Biogrid, Hprd"	1	1	1	9038219
P62993	Q03989	intact	1	1	1	unassigned1304
P62993	Q04864	"intact, Biogrid"	1	1	1	25416956
P62993	Q04912	"Biogrid, Hprd"	1	1	3	"7488076, 8918464, 16103119"
P62993	Q05209	"intact, Biogrid, Hprd"	1	1	2	"21706016, 9135065"
P62993	Q06124	"intact, Biogrid, Hprd"	1	1	23	"12577067, 7523381, 19380743, 21706016, 28514442, 10747947, 8041791, 9824671, 8995399, 9362449, 10212213, 9632781, 10080542, 8702859, 9361008, 7534299, 20473329, 8959326, 16371368, 9254654, 8647120, 9660791, 12531430"
P62993	Q06187	"intact, Biogrid"	1	1	2	"19380743, 20936779"
P62993	Q06418	intact	1	1	1	unassigned1304
P62993	Q07666	"intact, Biogrid, Hprd"	1	1	13	"9045636, 11278465, 7537265, 20936779, 21988832, 21706016, 9872323, 11960376, 10467411, 22745667, 8576157, 7799925, 12112020"
P62993	Q07889	"intact, mint, Biogrid, Hprd"	1	1	50	"12577067, 14679214, 7642581, 7629138, 17474147, 7527391, 7773779, 9447984, 16520382, 19323566, 21988832, 21706016, 28514442, 9872323, 11960376, 8112292, 8695800, 8479541, 11997436, 8188688, 10319320, 7629168, 7664271, 7510700, 10716926, 10477741, 8810325, 10207103, 10570290, 9344843, 11964172, 9009162, 7514169, 8943292, 10025673, 9716598, 19380743, 16906159, 16893902, 28166272, 20473329, 15192046, 7559490, 9797459, 9478994, 8626525, 7516467, 11726515, 8816480, 8493579"
P62993	Q08117	"intact, Biogrid"	1	1	1	25416956
P62993	Q08209	"intact, mint, Biogrid"	1	1	3	"12577067, 17474147, 21900206"
P62993	Q08499	Biogrid	1	1	1	10571082
P62993	Q12796	Hprd	1	1	1	15122321
P62993	Q12913	Biogrid	2	2	1	21706016
P62993	Q13094	"mint, intact, Biogrid, Hprd"	1	1	15	"17235283, 15929943, 19380743, 20936779, 25416956, unassigned1304, 11314042, 8695800, 10204582, 8995445, 10224278, 9716598, 12176364, 7706237, 9565634"
P62993	Q13123	"intact, Biogrid"	1	1	1	18624398
P62993	Q13163	intact	1	1	1	17474147
P62993	Q13191	"intact, mint, Biogrid, Hprd"	1	1	12	"12577067, 20936779, 21706016, 21900206, 25416956, 27107012, 28514442, 29997244, unassigned1913, 10086340, 9614102, 10022120"
P62993	Q13233	Biogrid	1	1	2	"9733714, 15192046"
P62993	Q13285	intact	1	1	1	17474147
P62993	Q13424	"Biogrid, Hprd"	2	2	2	"11278583, 11551227"
P62993	Q13561	"intact, Biogrid"	1	1	1	20936779
P62993	Q13796	intact	1	1	1	17474147
P62993	Q14008	intact	1	1	1	17474147
P62993	Q14155	Biogrid	2	2	1	21706016
P62993	Q14164	intact	2	2	1	17353931
P62993	Q14203	"Biogrid, Hprd"	1	1	1	8955163
P62993	Q14209	Biogrid	1	1	1	25814554
P62993	Q14210	intact	1	1	1	17474147
P62993	Q14247	"intact, Biogrid, Hprd"	2	2	4	"12577067, 19380743, 21706016, 11439336"
P62993	Q14289	"mint, Biogrid, Hprd"	2	2	4	"8695788, 10329689, 19380485, 10354709"
P62993	Q15027	"intact, Biogrid"	1	1	2	"17474147, 25814554"
P62993	Q15418	Hprd	2	2	1	8630373
P62993	Q15428	intact	1	1	1	unassigned1304
P62993	Q15746	intact	1	1	1	17474147
P62993	Q16643	"intact, Biogrid"	1	1	2	"12577067, 25814554"
P62993	Q16851	intact	1	1	1	17474147
P62993	Q38SD2	"intact, Biogrid"	2	2	3	"19380743, 24947832, 20697350"
P62993	Q49A26	intact	1	1	1	unassigned1304
P62993	Q5BJH2	"intact, Biogrid"	1	1	1	25814554
P62993	Q5H9K5	"intact, Biogrid"	1	1	1	25814554
P62993	Q5HYK7	"intact, Biogrid"	1	1	1	20936779
P62993	Q5JST6	intact	1	1	1	unassigned1304
P62993	Q5UIP0	"intact, Biogrid"	1	1	1	20936779
P62993	Q66PJ3	"intact, Biogrid"	1	1	1	25814554
P62993	Q6DHY5	intact	1	1	1	unassigned1304
P62993	Q6IQ23	intact	1	1	1	unassigned1304
P62993	Q6P1W5	"intact, Biogrid"	1	1	1	25416956
P62993	Q6PIZ9	Biogrid	1	1	1	10790433
P62993	Q6S9Z5	intact	1	1	1	unassigned1304
P62993	Q6ZUJ8	"intact, Biogrid"	1	1	3	"21988832, 21706016, 28514442"
P62993	Q70EK8	"intact, Biogrid"	1	1	1	20936779
P62993	Q75VX8	"intact, Biogrid"	2	2	3	"21706016, 28514442, 24003223"
P62993	Q7L190	"intact, Biogrid"	1	1	1	25416956
P62993	Q7L591	"mint, Biogrid"	2	2	2	"16436051, 19380743"
P62993	Q7Z7G0	"intact, Biogrid"	1	1	1	20936779
P62993	Q86SG2	intact	1	1	1	unassigned1304
P62993	Q86UR5	intact	1	1	1	17474147
P62993	Q86UU5	intact	1	1	1	unassigned1304
P62993	Q86UX6	"intact, Biogrid"	1	1	1	20936779
P62993	Q86WV1	"mint, Biogrid, Hprd"	2	2	1	12171928
P62993	Q8IUX7	Biogrid	1	1	1	18624398
P62993	Q8IWN7	intact	1	1	1	17474147
P62993	Q8IWV1	"Biogrid, Hprd"	2	2	1	12359715
P62993	Q8IWW6	Biogrid	2	2	1	21706016
P62993	Q8IX15	"intact, Biogrid"	1	1	1	25416956
P62993	Q8IXK0	"intact, Biogrid"	1	1	1	21988832
P62993	Q8IYN2	"intact, Biogrid"	1	1	1	18624398
P62993	Q8IZ63	Biogrid	1	1	1	25416956
P62993	Q8IZ73	intact	1	1	1	17474147
P62993	Q8IZD9	intact	1	1	1	17474147
P62993	Q8N1I0	"intact, Biogrid"	1	1	3	"21988832, 21706016, 28514442"
P62993	Q8N684	intact	1	1	1	unassigned1304
P62993	Q8N9I9	intact	1	1	1	unassigned1304
P62993	Q8TAK6	"intact, Biogrid"	1	1	1	25814554
P62993	Q8TAQ2	intact	1	1	1	17474147
P62993	Q8TB24	intact	1	1	1	17474147
P62993	Q8TBC3	"Biogrid, Hprd"	1	1	1	11152963
P62993	Q8TDZ2	Biogrid	1	1	1	11827972
P62993	Q8TF42	"intact, Biogrid"	2	2	3	"19380743, 24189400, 22267732"
P62993	Q8TF74	"intact, Biogrid"	1	1	4	"20936779, 21988832, 21706016, 28514442"
P62993	Q8WU20	"intact, Biogrid, Hprd"	1	1	10	"21706016, 8780727, 11997436, 10092678, 9182757, 15004239, 22974441, 16893902, 25159185, 12402043"
P62993	Q8WUM4	"intact, Biogrid"	1	1	2	"20936779, 21988832"
P62993	Q8WWW8	"Biogrid, Hprd"	1	1	1	11739737
P62993	Q92529	Hprd	2	2	1	12242309
P62993	Q92558	"intact, Hprd"	1	1	2	"unassigned1304, 9307968"
P62993	Q92734	"intact, Biogrid"	1	1	2	"18624398, 19380743"
P62993	Q92738	"Biogrid, Hprd"	1	1	1	12399475
P62993	Q92835	"Biogrid, Hprd"	1	1	6	"8723348, 22267732, 12149229, 11453982, 9108392, 10900203"
P62993	Q92841	"intact, Biogrid"	1	1	1	25416956
P62993	Q92928	intact	1	1	1	17474147
P62993	Q92934	intact	1	1	1	17474147
P62993	Q92935	intact	1	1	1	17474147
P62993	Q92945	intact	1	1	1	17474147
P62993	Q92947	intact	1	1	1	17474147
P62993	Q92949	intact	1	1	1	17474147
P62993	Q92959	intact	1	1	1	17474147
P62993	Q92963	intact	1	1	1	17474147
P62993	Q92988	intact	1	1	1	17474147
P62993	Q96B97	"Biogrid, Hprd"	1	1	2	"10921882, 11152963"
P62993	Q96D03	intact	1	1	1	unassigned1304
P62993	Q96EV2	"intact, Biogrid"	1	1	1	20936779
P62993	Q96F07	Biogrid	2	2	1	21706016
P62993	Q96GP6	intact	1	1	1	17474147
P62993	Q96I24	intact	1	1	1	17474147
P62993	Q96KQ7	intact	1	1	1	17474147
P62993	Q96NT1	"intact, Biogrid"	1	1	1	20936779
P62993	Q96PC5	"intact, Biogrid"	1	1	1	21988832
P62993	Q96PV4	"intact, Biogrid"	1	1	1	25416956
P62993	Q96RD6	intact	1	1	1	17474147
P62993	Q96RI1	intact	1	1	1	17474147
P62993	Q96RL7	intact	1	1	1	17474147
P62993	Q96SW2	"intact, Biogrid"	1	1	1	25814554
P62993	Q96T58	intact	1	1	1	17474147
P62993	Q99062	"Biogrid, Hprd"	1	1	3	"9824671, 17001306, 14557262"
P62993	Q99259	intact	1	1	1	17474147
P62993	Q99418	intact	1	1	1	17474147
P62993	Q99704	Biogrid	2	2	1	15151996
P62993	Q9BRR0	intact	1	1	1	17474147
P62993	Q9BRT2	"intact, Biogrid"	1	1	1	25814554
P62993	Q9BUN5	intact	1	1	1	unassigned1304
P62993	Q9BWF2	intact	1	1	1	17474147
P62993	Q9BYB0	"intact, Biogrid"	1	1	2	"17474147, 21988832"
P62993	Q9BYN7	intact	1	1	1	unassigned1304
P62993	Q9C0K7	"intact, Biogrid"	1	1	1	18624398
P62993	Q9H0X6	intact	1	1	1	unassigned1304
P62993	Q9H1R2	intact	1	1	1	17474147
P62993	Q9H2X0	intact	1	1	1	17474147
P62993	Q9H400	"Biogrid, Hprd"	1	1	2	"19879355, 16249387"
P62993	Q9H5I1	intact	1	1	1	17474147
P62993	Q9H788	"intact, Biogrid"	1	1	2	"20936779, unassigned1304"
P62993	Q9H8V3	intact	1	1	1	17474147
P62993	Q9HB07	intact	1	1	1	unassigned1304
P62993	Q9NP71	"intact, Biogrid"	1	1	1	21988832
P62993	Q9NQ76	intact	1	1	1	17474147
P62993	Q9NRF2	"intact, Biogrid, Hprd"	1	1	3	"unassigned1304, 9856458, 9742218"
P62993	Q9NRY4	Biogrid	1	1	2	"12441060, 22505611"
P62993	Q9NS40	intact	1	1	1	17474147
P62993	Q9NWQ8	"Biogrid, Hprd"	1	1	1	10790433
P62993	Q9NYK6	"intact, Biogrid"	1	1	1	18624398
P62993	Q9NZQ3	"intact, Biogrid, Hprd"	1	1	4	"19380743, 28514442, 11509578, 11157975"
P62993	Q9NZV5	intact	1	1	1	17474147
P62993	Q9P1A6	intact	1	1	1	17474147
P62993	Q9P2A4	"intact, Biogrid"	1	1	1	25416956
P62993	Q9UIF9	intact	1	1	1	17474147
P62993	Q9UJM3	"intact, Biogrid"	1	1	7	"20936779, 21988832, 21706016, 24189400, unassigned1304, 28514442, 20351267"
P62993	Q9UJT2	intact	1	1	1	17474147
P62993	Q9UKT9	"intact, Biogrid"	1	1	3	"25416956, 27107012, unassigned1304"
P62993	Q9UKW4	"intact, Biogrid, Hprd"	1	1	6	"12577067, 18654987, 20936779, 21706016, unassigned1304, 11094073"
P62993	Q9UL51	intact	1	1	1	17474147
P62993	Q9ULI4	intact	2	2	1	19914172
P62993	Q9ULW0	intact	1	1	1	17474147
P62993	Q9UMN6	intact	1	1	1	17474147
P62993	Q9UQ49	"Biogrid, Hprd"	2	2	1	12730204
P62993	Q9UQC2	"mint, intact, Dip, Biogrid, Hprd"	1	1	17	"10913131, 16253990, 19172738, 19380743, 20936779, 21706016, 25416956, unassigned1304, 28514442, 19523899, 15143164, 11782427, 10391903, 16371368, 9660791, 11882361, 10068651"
P62993	Q9Y244	"intact, Biogrid"	1	1	1	18624398
P62993	Q9Y2R2	"mint, Biogrid, Hprd"	1	1	1	11882361
P62993	Q9Y2X7	"intact, mint, Biogrid"	1	1	2	"21706016, 21900206"
P62993	Q9Y330	intact	1	1	1	unassigned1304
P62993	Q9Y365	Biogrid	2	2	1	21706016
P62993	Q9Y478	"intact, Biogrid"	1	1	1	18624398
P62993	Q9Y496	"intact, Biogrid"	1	1	1	20936779
P62993	Q9Y4H2	"intact, Biogrid, Hprd"	1	1	4	"21706016, 22974441, 7559579, 9852124"
P62993	Q9Y4K4	"intact, Biogrid, Hprd"	1	1	5	"9788432, 17474147, 20936779, 21706016, 28514442"
P62993	Q9Y5E4	"intact, Biogrid"	1	1	1	25814554
P62993	Q9Y5K6	"intact, Biogrid, Hprd"	1	1	4	"19380743, 21988832, 21706016, 10339567"
P62993	Q9Y5X2	intact	1	1	1	17474147
P63104	A8K0R7	Biogrid	1	1	1	20936779
P63104	O00571	mint	2	2	1	15161933
P63104	O00764	mint	2	2	1	15161933
P63104	O14929	mint	2	2	1	15161933
P63104	O14974	mint	2	2	1	18094049
P63104	O14975	mint	2	2	1	15161933
P63104	O15127	mint	2	2	1	15161933
P63104	O43524	"mint, intact, Biogrid, Hprd"	2	2	3	"10102273, 28514442, 17389761"
P63104	O43707	mint	2	2	1	15161933
P63104	O43813	mint	2	2	1	15161933
P63104	O60343	"mint, intact, Biogrid"	2	2	3	"15161933, 28514442, 25770209"
P63104	O60488	mint	2	2	1	15161933
P63104	O60885	Biogrid	2	2	1	19766566
P63104	O75030	mint	2	2	1	16822840
P63104	O75628	"Biogrid, Hprd"	1	1	1	10441394
P63104	O95279	intact	2	2	1	30021884
P63104	O95295	intact	2	2	1	23414517
P63104	O95644	mint	2	2	1	15161933
P63104	O96013	"mint, intact, Biogrid, Hprd"	2	2	4	"15324660, 17353931, 15161933, 28514442"
P63104	P00558	"mint, Biogrid"	2	2	2	"15161933, 26344197"
P63104	P00966	mint	2	2	1	15161933
P63104	P04075	mint	2	2	1	15161933
P63104	P04083	mint	2	2	1	15161933
P63104	P04406	mint	2	2	1	15161933
P63104	P04792	"mint, intact, Biogrid"	1	1	3	"15161933, 20618440, 25277244"
P63104	P05387	mint	2	2	1	15161933
P63104	P05388	mint	2	2	1	15161933
P63104	P05455	mint	2	2	1	15161933
P63104	P05783	"mint, Hprd"	2	2	5	"15314064, 20618440, 19357195, 9524113, 11917136"
P63104	P06576	mint	2	2	2	"15161933, 20618440"
P63104	P06733	"mint, intact, Biogrid, Hprd"	2	2	4	"15324660, 15161933, 23414517, 22658674"
P63104	P07237	mint	2	2	1	15161933
P63104	P07355	mint	2	2	1	15161933
P63104	P07359	"mint, Biogrid, Hprd"	1	1	8	"19558434, 10887121, 9454760, 8631758, 10627461, 22754302, 18299448, 9425086"
P63104	P07900	mint	2	2	1	15161933
P63104	P07910	mint	2	2	2	"15161933, 20618440"
P63104	P08069	"mint, Biogrid, Hprd"	2	2	2	"9581554, 27684187"
P63104	P08238	mint	2	2	1	15161933
P63104	P08727	mint	2	2	1	15314064
P63104	P08913	Hprd	2	2	1	10224112
P63104	P09382	mint	2	2	1	15161933
P63104	P09651	"mint, Biogrid"	2	2	2	"15161933, 25324306"
P63104	P0DMV8	"mint, Biogrid, Hprd"	2	2	1	15324660
P63104	P0DMV9	"mint, Biogrid, Hprd"	2	2	1	15324660
P63104	P0DP23	mint	2	2	2	"15161933, 20618440"
P63104	P0DP24	mint	2	2	2	"15161933, 20618440"
P63104	P0DP25	mint	2	2	2	"15161933, 20618440"
P63104	P10809	mint	2	2	1	15161933
P63104	P11274	Hprd	2	2	2	"7939633, 16045749"
P63104	P12956	"intact, Biogrid, Hprd"	1	1	1	16169070
P63104	P15056	"mint, intact, Biogrid, Hprd"	1	1	10	"15324660, 17353931, 15161933, 17979178, 26496610, 28514442, 27034005, 28628118, 27684187, 8668348"
P63104	P17252	"Biogrid, Hprd"	2	2	1	11950841
P63104	P17812	mint	2	2	1	15161933
P63104	P18089	Hprd	2	2	1	10224112
P63104	P18825	Hprd	2	2	1	10224112
P63104	P19634	mint	2	2	1	11279064
P63104	P20700	mint	2	2	1	15161933
P63104	P20941	Hprd	2	2	2	"11287646, 11331285"
P63104	P21127	Biogrid	1	1	1	15883043
P63104	P21580	"intact, Biogrid, Hprd"	1	1	4	"21988832, 9299557, 8702721, 20936779"
P63104	P22314	mint	2	2	1	15161933
P63104	P22392	mint	2	2	1	15161933
P63104	P22681	"mint, Biogrid, Hprd"	1	1	4	"20618440, 11697890, 9367879, 9632690"
P63104	P23396	mint	2	2	2	"15161933, 20618440"
P63104	P23528	"intact, mint, Hprd"	2	2	3	"12361576, 15161933, 12323073"
P63104	P25205	mint	2	2	1	15161933
P63104	P25705	"mint, Biogrid, Hprd"	2	2	3	"15324660, 15161933, 20618440"
P63104	P26045	"mint, intact, Biogrid"	2	2	5	"15161933, 28330616, 28514442, 27880917, 27432908"
P63104	P27448	"intact, mint, Biogrid, Hprd"	1	1	10	"14676191, 15161933, 16306228, 16959763, 25852190, 26496610, 28514442, 16968750, 20642453, 29089450"
P63104	P27708	mint	2	2	1	15161933
P63104	P27986	"mint, Biogrid"	1	1	2	"10887121, 26839216"
P63104	P28066	Biogrid	1	1	1	9092538
P63104	P29353	mint	2	2	2	"11342545, 19218246"
P63104	P30291	"mint, Hprd"	1	1	1	15161933
P63104	P30304	"mint, intact, Biogrid, Hprd"	1	1	4	"15161933, 28514442, 11912208, 27432908"
P63104	P30305	"mint, intact, Biogrid"	1	1	8	"12764136, 10713667, 15629715, 16672277, 12766774, 26496610, 28514442, 27432908"
P63104	P30793	"intact, Biogrid"	1	1	1	21988832
P63104	P31150	mint	2	2	1	15161933
P63104	P31327	mint	2	2	2	"15161933, 20618440"
P63104	P31629	"intact, Biogrid"	1	1	2	"28514442, 20936779"
P63104	P31947	"mint, intact, Biogrid"	2	2	5	"15161933, 20618440, 28514442, 22863883, 26186194"
P63104	P32927	"mint, Biogrid, Hprd"	1	1	2	"10477722, 8278375"
P63104	P34931	mint	2	2	1	15161933
P63104	P35579	"mint, Biogrid"	1	1	2	"20618440, 20936779"
P63104	P38919	mint	2	2	1	15324660
P63104	P40197	Hprd	2	2	1	9425086
P63104	P40818	"mint, intact, Biogrid"	1	1	5	"15324660, 17353931, 15161933, 28514442, 29473952"
P63104	P41252	mint	2	2	1	15161933
P63104	P42345	"mint, Biogrid"	2	2	2	"15161933, 17277771"
P63104	P46527	Biogrid	1	1	1	15057270
P63104	P46940	mint	2	2	1	15161933
P63104	P47736	mint	2	2	1	15161933
P63104	P48039	"intact, Biogrid"	1	1	1	26514267
P63104	P48730	Biogrid	1	1	1	15003508
P63104	P49137	"Biogrid, Hprd"	1	1	1	12861023
P63104	P49327	mint	2	2	1	15161933
P63104	P49588	mint	2	2	1	15161933
P63104	P49720	mint	2	2	1	15161933
P63104	P49841	intact	2	2	1	17317006
P63104	P50991	mint	2	2	1	15161933
P63104	P51572	mint	2	2	1	15161933
P63104	P52294	mint	2	2	1	15161933
P63104	P52732	Biogrid	2	2	1	25770209
P63104	P53667	"intact, Biogrid, Hprd"	1	1	2	"12361576, 12323073"
P63104	P55042	"Biogrid, Hprd"	2	2	1	10441394
P63104	P55060	mint	2	2	1	15161933
P63104	P55196	mint	2	2	1	15161933
P63104	P56524	"mint, intact, Biogrid, Hprd"	1	1	7	"15161933, 15964851, 11504882, 23752268, 28514442, 27684187, 11486037"
P63104	P56945	"Biogrid, Hprd"	1	1	1	10026197
P63104	P60174	mint	2	2	1	15161933
P63104	P60709	mint	2	2	2	"15161933, 20618440"
P63104	P60842	mint	2	2	1	15161933
P63104	P61981	"mint, intact, Biogrid"	1	1	6	"20618440, 26496610, 28514442, 22863883, 26344197, 28628118"
P63104	P62081	mint	2	2	1	15161933
P63104	P62258	"mint, intact, Biogrid, Hprd"	1	1	11	"16376338, 20618440, 21988832, 26496610, 28514442, 20936779, 19766566, 22939629, 17979178, 22863883, 26344197"
P63104	P62906	mint	2	2	1	15161933
P63104	P62937	mint	2	2	1	15161933
P63104	P68431	"mint, Biogrid"	1	1	4	"19766566, 16246723, 18418070, 25330109"
P63104	P84098	mint	2	2	1	15161933
P63104	P98177	"mint, Hprd"	2	2	2	"14690436, 16114898"
P63104	Q00536	"mint, intact, Biogrid, Hprd"	1	1	3	"12154078, 25852190, 9197417"
P63104	Q00537	"mint, intact, Hprd"	2	2	2	"15161933, 28514442"
P63104	Q00610	mint	2	2	1	15161933
P63104	Q00839	mint	2	2	1	15161933
P63104	Q00987	Biogrid	2	2	1	29069755
P63104	Q01113	"mint, Biogrid, Hprd"	1	1	1	10642536
P63104	Q01813	mint	2	2	1	15161933
P63104	Q02156	"mint, Biogrid"	1	1	2	"19662078, 11950841"
P63104	Q02241	"intact, mint, Biogrid"	1	1	5	"14676191, 15161933, 20451386, 22580824, 28514442"
P63104	Q02878	mint	2	2	1	15161933
P63104	Q05513	Biogrid	1	1	3	"12893243, 10620507, 29491746"
P63104	Q05655	"Biogrid, Hprd"	2	2	2	"11950841, 9705322"
P63104	Q07002	mint	2	2	1	15161933
P63104	Q0VF96	Biogrid	1	1	1	20936779
P63104	Q12778	"intact, Biogrid, Hprd"	1	1	3	"28514442, 11237865, 28628118"
P63104	Q12800	intact	2	2	1	20195357
P63104	Q12824	intact	2	2	1	16959763
P63104	Q12912	Biogrid	1	1	1	20936779
P63104	Q13094	"mint, Biogrid"	1	1	2	"17353368, 20936779"
P63104	Q13111	Biogrid	1	1	2	"20936779, 21209461"
P63104	Q13163	"intact, Biogrid"	1	1	1	20936779
P63104	Q13625	"mint, intact, Biogrid"	2	2	3	"15161933, 26496610, 28514442"
P63104	Q13885	"mint, Hprd"	2	2	2	"20618440, 15324660"
P63104	Q14152	"mint, Biogrid"	1	1	2	"15161933, 20936779"
P63104	Q14204	mint	2	2	1	15161933
P63104	Q14241	Biogrid	2	2	1	19766566
P63104	Q14642	"Biogrid, Hprd"	1	1	1	9398266
P63104	Q14678	Biogrid	1	1	1	18458160
P63104	Q14934	"Biogrid, Hprd"	1	1	1	10611249
P63104	Q14974	mint	2	2	1	15161933
P63104	Q14980	mint	2	2	1	15161933
P63104	Q14C86	mint	2	2	1	15161933
P63104	Q15007	mint	2	2	1	15161933
P63104	Q15041	mint	2	2	1	15161933
P63104	Q15139	Biogrid	1	1	1	12893243
P63104	Q15154	"mint, Biogrid"	1	1	2	"15161933, 26616734"
P63104	Q16531	mint	2	2	1	15161933
P63104	Q16658	"mint, intact"	2	2	2	"15161933, 20603015"
P63104	Q16827	"mint, Biogrid"	1	1	1	21900206
P63104	Q16890	"mint, Hprd"	1	1	1	12963375
P63104	Q2NL82	mint	2	2	1	15161933
P63104	Q4FZB7	intact	2	2	1	30021884
P63104	Q5QNW6	mint	2	2	1	15161933
P63104	Q5S007	"intact, Biogrid"	1	1	6	"20642453, 23075850, 24351927, 24510904, 24947832, 31046837"
P63104	Q5T200	mint	2	2	1	15161933
P63104	Q5T5U3	"mint, intact"	2	2	2	"15161933, 28514442"
P63104	Q5VV41	"mint, intact"	2	2	2	"15161933, 28514442"
P63104	Q684P5	Biogrid	1	1	1	20936779
