InteractorA,InteractorB
Q8TC20,Q96CS2
Q8TC20,O60341
Q8TC20,Q15777
Q8TC20,Q15777
Q8TC20,Q96HT8
Q8TC20,O14777
Q8TC20,Q7Z6G3
Q8TC20,Q9NUY8
Q8TC20,Q9NUY8
Q8TC20,P09493
Q8TC20,P09493
Q8TC20,Q99816
Q8TC20,Q8N3L3
Q96AQ1,Q96LK0
Q96AQ1,Q8N720
Q52MB2,O95872
Q52MB2,Q14005
Q52MB2,P30039
Q52MB2,Q13526
Q52MB2,Q96KQ4
Q52MB2,P32969
Q52MB2,O75558
Q52MB2,Q13114
Q52MB2,O00463
Q52MB2,Q96HA8
Q96LT6,Q9BZE7
Q96LT6,P24592
Q96LT6,Q8WWY6
Q96LT6,Q04864
Q96LT6,Q969V4
Q96LT6,Q9GZV5
Q6ZUS5,P37198
Q6ZUS5,Q6NUQ1
Q6ZUS5,Q9UBB9
Q6ZUS5,Q8N6Y0
P63098,Q99683
P63098,Q08209
P63098,Q08209
P63098,Q08209
P63098,P48454
Q8N813,Q01974
Q96G23,P07306
Q96G23,P07307
Q96G23,P27449
Q96G23,P07900
Q96G23,Q9Y5U9
Q96G23,O15245
Q96G23,O95070
P61604,Q8WWX9
P61604,Q96HA8
Q8N365,O75553
Q8N365,Q13952
P28906,O95994
O15247,Q4KMQ1
Q9NRU3,O75031
Q9NRU3,Q93096
Q9NRU3,Q12974
Q9NZN8,Q96C12
Q9NZN8,P41182
Q9NZN8,Q9HBH7
Q9NZN8,Q9H5F2
Q9NZN8,Q9H1P6
Q9NZN8,Q8TD31
Q9NZN8,A5YKK6
Q9NZN8,O75175
Q9NZN8,Q96LI5
Q9NZN8,Q9UFF9
Q9NZN8,P33240
Q9NZN8,F2Z2M7
Q9NZN8,Q8N6F7
Q9NZN8,Q13098
Q9NZN8,O75031
Q9NZN8,Q9H019
Q9NZN8,P0CG20
Q9NZN8,P28070
Q9NZN8,P63244
Q9NZN8,Q13207
Q9NZN8,Q9BXF9
Q9NZN8,Q9HCJ0
Q9NZN8,Q15911
Q13057,Q8N137
Q13057,Q6P2E9
Q13057,Q8N8K9
Q96B33,Q96L08
P26441,Q96MA6
P26441,P26992
P26441,A8MQ03
P26441,P40189
P26441,Q15323
P26441,Q6A162
P26441,P42702
P26441,O14561
P26441,Q8NG50
P26441,Q96N21
P26441,Q15654
Q8N137,Q13057
Q8N137,Q2TBE0
Q8N137,Q68J44
Q8N137,Q14241
Q8N137,Q7L775
Q8N137,Q96EZ8
Q8N137,Q96FA3
Q8N137,Q96T60
Q8N137,P54725
Q8N137,Q9UHP6
Q8N137,Q5T7P8
Q8N137,Q15560
Q8N137,Q9NRE2
Q8N137,Q5W5X9
Q9UH73,Q8N5M1
Q9UH73,Q8IX15
Q9UH73,P78424
O95471,Q9NVV5
O95471,Q86W74
O95471,P05090
O95471,P07306
O95471,Q92843
O95471,O15155
O95471,O95393
O95471,P19397
O95471,P21854
O95471,Q9NWW5
O95471,Q96DZ9
O95471,O95406
O95471,P29400
O95471,Q07325
O95471,Q8NBI2
O95471,O14569
O95471,O43169
O95471,Q9BQA9
O95471,P56851
O95471,P54852
O95471,Q9UKR5
O95471,Q7Z2K6
O95471,Q96IV6
O95471,Q9H0Q3
O95471,Q96F15
O95471,O60883
O95471,P24593
O95471,O43736
O95471,Q8N5M9
O95471,O43561
O95471,O95214
O95471,Q9UBY5
O95471,Q8N112
O95471,P21145
O95471,Q13021
O95471,Q6N075
O95471,Q5J8X5
O95471,Q9NX14
O95471,Q0D2K0
O95471,Q16617
O95471,Q6UX06
O95471,Q9UHJ9
O95471,P26678
O95471,Q9NS64
O95471,Q5QGT7
O95471,Q969E2
O95471,Q14162
O95471,O75396
O95471,A2A2V5
O95471,Q9NVC3
O95471,Q8N205
O95471,P09758
O95471,Q9NV29
O95471,P17152
O95471,Q5BJH2
O95471,Q9NV12
O95471,Q9BVK8
O95471,Q2T9K0
O95471,Q9H2L4
O95471,Q5BJF2
O95471,P01375
O95471,Q86UF1
O95471,Q5BVD1
O95471,Q9Y5Z9
O95471,Q9H1C4
O95471,O75841
O95471,O00526
O95471,Q15836
O95471,O95183
O95471,Q6UX27
Q9P2B4,O14964
Q9P2B4,O75031
Q9P2B4,Q9Y3A3
Q9P2B4,Q96KN3
Q9P2B4,Q9Y6E0
Q9P2B4,Q9P289
Q9P2B4,Q5VSL9
Q9P2B4,O43815
Q9P2B4,Q13033
Q9P2B4,Q8N6Y0
Q5SWW7,P54253
Q5SWW7,A0A087WZT3
Q5SWW7,P53672
Q5SWW7,Q86UW9
Q5SWW7,Q92567
Q5SWW7,Q8WU58
Q5SWW7,Q53EP0
Q5SWW7,O75593
Q5SWW7,P28676
Q5SWW7,P35680
Q5SWW7,P52597
Q5SWW7,Q9ULV5
Q5SWW7,Q0VD86
Q5SWW7,Q3LI76
Q5SWW7,Q3LI66
Q5SWW7,Q96PV6
Q5SWW7,P0CW20
Q5SWW7,Q8TDC0
Q5SWW7,Q16656
Q5SWW7,Q9UBU9
Q5SWW7,P32242
Q5SWW7,Q99471
Q5SWW7,P78337
Q5SWW7,Q9UF11
Q5SWW7,Q9NRY6
Q5SWW7,Q7Z3K3
Q5SWW7,Q7Z5V6
Q5SWW7,P86480
Q5SWW7,Q9BTL3
Q5SWW7,Q9BX46
Q5SWW7,A0AV96
Q5SWW7,Q93062
Q5SWW7,Q6ZRY4
Q5SWW7,Q01974
Q5SWW7,Q53HV7
Q5SWW7,P14678
Q5SWW7,Q5JUK2
Q5SWW7,P56693
Q5SWW7,O95947
Q5SWW7,Q96A09
Q5SWW7,Q8NEK8
Q5SWW7,Q01085
Q5SWW7,Q08117
Q5SWW7,Q12888
Q5SWW7,Q5T6F2
Q5SWW7,Q6NVU6
Q5SWW7,O95231
Q5SWW7,Q14119
Q5SWW7,Q9NZC7
Q5SWW7,Q96K80
Q5SWW7,P36508
Q6UUV7,Q8N1Q1
P09603,P07333
P09603,A8MQ03
P09603,Q13643
P09603,Q07627
P09603,P60410
P09603,Q5JR59
P09603,Q7Z3S9
P09603,O43765
P13073,P00395
P13073,O00560
Q5VWQ8,O15169
Q5VWQ8,P49841
Q5VWQ8,P49841
Q5VWQ8,Q99683
Q9HCS2,Q9NPL8
P0DPH9,Q96CW1
P99999,O14727
P99999,Q07817
P99999,Q6A162
A0PJW8,Q14192
A0PJW8,Q53EP0
A0PJW8,O15116
A0PJW8,Q969E8
A0PJW8,Q15915
Q9NVH1,P42858
Q9NVH1,Q9BS40
Q9NVH1,Q8IYS1
Q9NVH1,Q8N1B4
Q9BVM2,Q9Y230
A0A0U1RQF7,Q9H6L4
A0A0U1RQF7,Q9NPB3
A0A0U1RQF7,P27658
A0A0U1RQF7,O43559
A0A0U1RQF7,Q63ZY3
A0A0U1RQF7,P41271
A0A0U1RQF7,Q9BUZ4
A0A0U1RQF7,Q86VK4
Q9P2X0,O60762
Q9P2X0,Q8N128
Q9P2X0,Q9Y5U9
Q9P2X0,O75396
Q9P2X0,Q9BVK8
Q86UW9,Q8NFV4
Q86UW9,O95870
Q86UW9,Q9NXW9
Q86UW9,Q9NYG5
Q86UW9,Q9BQD7
Q86UW9,Q03989
Q86UW9,Q9H6L4
Q86UW9,A0A087WVE9
Q86UW9,O43521
Q86UW9,Q6AI39
Q86UW9,A0A0B4J295
Q86UW9,Q5SWW7
Q86UW9,Q9H5F2
Q86UW9,Q5BKX5
Q86UW9,Q6P1W5
Q86UW9,Q9H1P6
Q86UW9,Q6P5X5
Q86UW9,Q2TAC2
Q86UW9,Q16740
Q86UW9,Q5JTJ3
Q86UW9,Q8NI60
Q86UW9,Q15038
Q86UW9,Q7L591
Q86UW9,Q16610
Q86UW9,Q9BQ95
Q86UW9,Q9NRA8
Q86UW9,Q04637
Q86UW9,O00167
Q86UW9,Q92567
Q86UW9,Q92567
Q86UW9,Q96PJ5
Q86UW9,Q14192
Q86UW9,Q5TD97
Q86UW9,Q12951
Q86UW9,Q9C0B1
Q86UW9,Q8IVS8
Q86UW9,Q08379
Q86UW9,P19113
Q86UW9,O14964
Q86UW9,Q14774
Q86UW9,P49639
Q86UW9,P14652
Q86UW9,P35452
Q86UW9,P84074
Q86UW9,P37235
Q86UW9,Q9UM19
Q86UW9,Q96LI6
Q86UW9,Q9UKT9
Q86UW9,Q63ZY3
Q86UW9,Q6P597
Q86UW9,Q96G42
Q86UW9,Q8IUC1
Q86UW9,Q3SY46
Q86UW9,Q3LI76
Q86UW9,Q8IUB9
Q86UW9,Q3LI70
Q86UW9,Q3SYF9
Q86UW9,Q6PEX3
Q86UW9,Q3LI64
Q86UW9,Q8IUC3
Q86UW9,Q8IUC2
Q86UW9,Q14847
Q86UW9,Q8TBB1
Q86UW9,Q9P2M1
Q86UW9,Q8WWY6
